"bar_id","B","H","start_node","x1","y1","z1","end_node","x2","y2","z2"
"260","0.3","0.5","1446","0.7656961","25.25081913","6","2216","1.45097967","23.84004187","6"
"264","0.3","0.5","2234","0.63144251","25.23698303","6","275","0.77491482","27.34821196","6"
"469","0.4","0.5","4694","20.6565","35.1965","6","2219","21.24","35.685","6"
"2347","0.5","0.6","2106","41.76","26.51","6","2253","41.759","28.414","6"
"466","0.4","0.7","2235","1.379","36.365","6","665","2.89441272","33.07273258","6"
"478","0.3","0.5","1088","1.09478493","32.12151113","6","2235","1.379","36.365","6"
"492","0.3","0.5","2235","1.379","36.365","6","2595","4.96956771","34.16958845","6"
"2214","0.3","0.5","2142","0.443","31.777","6","2171","1.04898916","31.4348384","6"
"2215","0.3","0.5","2171","1.04898916","31.4348384","6","4850","4.563","29.449","6"
"2218","0.4","0.7","2071","0.805","23.524","6","2216","1.45097967","23.84004187","6"
"2219","0.4","0.7","2216","1.45097967","23.84004187","6","2251","5.34086213","25.7440123","6"
"2220","0.4","0.7","2251","5.34086213","25.7440123","6","2038","6.203","26.166","6"
"2221","0.4","0.7","2198","12.58774677","6.47566667","6","2250","15.723","6.476","6"
"2222","0.3","0.6","2250","15.723","6.476","6","2078","16.033","6.474","6"
"2223","0.4","0.5","2146","18.393","16.19","6","2124","18.96908526","15.74089065","6"
"2224","0.4","0.5","2124","18.96908526","15.74089065","6","2147","19.559","15.281","6"
"2225","0.3","0.5","2124","18.96908526","15.74089065","6","2086","19.806","19.179","6"
"2226","0.25","0.4","2126","34.53554686","19.61074825","6","2209","35.453","22.334","6"
