bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
2228	2137	13.733	15.641	6	2191	14.755	14.587	6	1.4681280598095	2F
2229	2191	14.755	14.587	6	2080	16.033	13.269	6	1.83586709758632	2F
2230	2191	14.755	14.587	6	2149	17.487	17.07	6	3.6917628580395	2F
2231	2128	14.596	9.353	6	2192	15.723	9.905	6	1.25492350364475	2F
2232	2192	15.723	9.905	6	2079	16.033	10.057	6	0.345259322828508	2F
2233	2129	7.548	23.472	6	2139	9.918	24.632	6	2.63865496039175	2F
2234	2130	8.975	20.613	6	2138	10.622	21.42	6	1.83408233184882	2F
2235	2131	10.44681455	17.66834469	6	2136	11.911	18.387	6	1.63104398671001	2F
2236	2193	7.05971719	12.38434986	6	2132	11.903	14.747	6	5.38883141893338	2F
2237	2132	11.903	14.747	6	2137	13.733	15.641	6	2.03669732655591	2F
2238	2194	10.712	10.664	6	2127	11.981	8.073	6	2.88507226945877	2F
2239	2194	10.712	10.664	6	2133	13.308	11.934	6	2.89000276816476	2F
2240	2195	7.32	11.852	6	2196	8.445	9.554	6	2.55859903071974	2F
2241	2065	7.794	9.235	6	2196	8.445	9.554	6	0.724956550422161	2F
2242	2196	8.445	9.554	6	2194	10.712	10.664	6	2.52416104874471	2F
2243	2133	13.308	11.934	6	2197	15.283	12.901	6	2.19902569334694	2F
2244	2197	15.283	12.901	6	2080	16.033	13.269	6	0.835418458019691	2F
2245	2066	9.143	6.476	6	2198	12.58774677	6.47566667	6	3.44474678612729	2F
2246	2127	11.981	8.073	6	2198	12.58774677	6.47566667	6	1.70868821323093	2F
2247	2068	6.409	12.064	6	2065	7.794	9.235	6	3.14983586873983	2F
2248	2132	11.903	14.747	6	2199	12.167	14.219	6	0.590321946059945	2F
2249	2199	12.167	14.219	6	2133	13.308	11.934	6	2.55403719628356	2F
2250	2068	6.409	12.064	6	2193	7.05971719	12.38434986	6	0.725297796883126	2F
2252	2066	9.143	6.476	6	2151	10.474	3.755	6	3.02909260340452	2F
2253	2151	10.474	3.755	6	2152	11.751	1.143	6	2.90745128935981	2F
2254	2152	11.751	1.143	6	2073	12.31	0	6	1.27237180100787	2F
2255	2074	16.033	-0.0005	6	2153	16.033	3.237	6	3.2375	2F
2256	2153	16.033	3.237	6	2078	16.033	6.474	6	3.237	2F
2257	2074	16.033	-0.0005	6	2154	19.062	-0.001	6	3.02900004126774	2F
2258	2154	19.062	-0.001	6	2081	22.091	-0.0005	6	3.02900004126774	2F
2259	2081	22.091	-0.0005	6	2156	24.649	-0.002	6	2.55800043979668	2F
2260	2156	24.649	-0.002	6	2164	27.207	-0.002	6	2.558	2F
2261	2082	22.091	6.474	6	2157	24.649	6.473	6	2.5580001954652	2F
2262	2157	24.649	6.473	6	2025	27.207	6.473	6	2.558	2F
2263	2158	24.649	9.473	6	2026	27.207	9.473	6	2.558	2F
2264	2114	30.332	16.216	6	2201	33.392	16.216	6	3.06	2F
2265	2201	33.392	16.216	6	2109	36.741	16.049	6	3.35316119505162	2F
2266	2029	34.332	12.9725	6	2201	33.392	16.216	6	3.37696494651632	2F
2267	2163	42.20930087	33.0461111	6	8103	44.184	31.49	6	2.5141436732148	2F
2268	2204	46.335	34.216	6	2060	47.361	35.517	6	1.65688774514148	2F
2269	2053	45.38283206	33.00913189	6	2204	46.335	34.216	6	1.53725548328793	2F
2270	2203	44.56500001	31.973	6	2053	45.38283206	33.00913189	6	1.32000702857302	2F
2271	2205	32.699	35.548	6	2177	33.846	34.643	6	1.46103867163056	2F
2272	2177	33.846	34.643	6	2206	36.342	32.675	6	3.17852796117951	2F
2273	2206	36.342	32.675	6	2207	38.392	31.06	6	2.60973657674487	2F
2227	8103	44.184	31.49	6	2203	44.56500001	31.973	6	0.615182905825578	2F
2274	2209	35.453	22.334	6	2103	40.35	20.684	6	5.16750510401296	2F
